transaction_id,client_id,date,heure,montant,devise,type_transaction,lieu,canal,moyen_paiement,categorie_commerce,device_utilise,score_risque_client,is_fraud
T000001,C8270,01/07/2025,22:38:02,9662.17,USD,paiement en ligne,Fès,carte,Visa,électronique,Android,5,0
T000002,C1860,01/07/2025,09:09:18,7622.33,MAD,retrait,Tanger,application mobile,Visa,voyage,ATM,9,0
T000003,C6390,01/07/2025,13:33:32,9510.19,MAD,retrait,Casablanca,application mobile,Visa,voyage,ATM,9,0
T000004,C6191,01/07/2025,22:54:27,7040.28,MAD,virement,Casablanca,guichet,Amex,santé,Android,6,0
T000005,C6734,01/07/2025,17:06:28,3015.62,MAD,virement,Fès,guichet,Amex,électronique,iOS,1,0
T000006,C7265,01/07/2025,07:00:56,1098.38,USD,paiement en ligne,Tanger,en ligne,Visa,alimentaire,Android,10,0
T000007,C1466,01/07/2025,22:02:23,7829.15,MAD,virement,Rabat,carte,Visa,voyage,iOS,7,0
T000008,C5426,01/07/2025,22:58:07,6459.28,MAD,paiement en ligne,Rabat,en ligne,MasterCard,alimentaire,Android,6,0
T000009,C6578,01/07/2025,21:56:46,529.45,EUR,retrait,Fès,en ligne,Amex,électronique,ATM,9,0
T000010,C9322,01/07/2025,04:02:50,3632.5,MAD,retrait,Rabat,application mobile,Amex,voyage,ATM,7,0
T000011,C2685,01/07/2025,00:27:46,9570.16,MAD,retrait,Casablanca,application mobile,Visa,voyage,iOS,4,0
T000012,C1769,02/07/2025,07:33:34,5028.99,MAD,paiement en ligne,Marrakech,application mobile,Visa,alimentaire,iOS,7,0
T000013,C7949,02/07/2025,13:31:55,4355.65,MAD,virement,Fès,application mobile,,mode,Web,2,0
T000014,C3433,02/07/2025,13:42:15,4604.11,USD,paiement en ligne,Fès,en ligne,Amex,alimentaire,Web,6,0
T000015,C6311,02/07/2025,03:51:36,2128.38,EUR,paiement en ligne,Marrakech,application mobile,Cash,alimentaire,ATM,6,0
T000016,C6051,02/07/2025,21:20:13,3718.64,MAD,retrait,Marrakech,carte,MasterCard,mode,ATM,2,0
T000017,C7420,02/07/2025,22:47:17,3729.64,EUR,paiement en ligne,Casablanca,application mobile,Cash,électronique,Web,4,0
T000018,C2184,02/07/2025,06:09:06,570.93,MAD,virement,Rabat,application mobile,Visa,électronique,Web,8,0
T000019,C5555,02/07/2025,00:22:20,7687.3,MAD,paiement en ligne,Casablanca,application mobile,Amex,voyage,iOS,8,0
T000020,C4385,02/07/2025,18:47:18,4194.22,MAD,paiement en ligne,Casablanca,guichet,Amex,santé,Android,8,0
T000021,C7396,02/07/2025,03:28:17,8230.69,MAD,virement,Marrakech,carte,Cash,santé,iOS,8,0
T000022,C9666,02/07/2025,01:00:46,8510.96,MAD,retrait,Tanger,carte,Cash,voyage,Web,1,0
T000023,C3558,03/07/2025,04:19:10,2159.34,EUR,paiement en ligne,,en ligne,,santé,ATM,2,0
T000024,C8849,03/07/2025,09:01:02,6590.67,USD,retrait,Fès,en ligne,MasterCard,alimentaire,Web,4,0
T000025,C3047,03/07/2025,22:54:11,,MAD,retrait,Casablanca,application mobile,Visa,alimentaire,ATM,9,0
T000026,C3747,03/07/2025,19:04:36,8807.56,MAD,retrait,Casablanca,guichet,Visa,mode,ATM,3,0
T000027,C1189,03/07/2025,05:29:08,2196.62,MAD,paiement en ligne,Tanger,en ligne,Visa,mode,ATM,6,0
T000028,C3734,03/07/2025,01:52:43,6794.24,,virement,Fès,en ligne,Cash,voyage,ATM,7,0
T000029,C4005,03/07/2025,02:51:57,6097.13,MAD,virement,Fès,application mobile,Cash,voyage,Android,8,0
T000030,C5658,03/07/2025,21:43:23,2988.25,MAD,retrait,Marrakech,application mobile,Amex,voyage,Web,7,0
T000031,C2899,03/07/2025,16:09:29,1409.18,EUR,paiement en ligne,Marrakech,en ligne,Visa,alimentaire,iOS,3,0
T000032,C8734,03/07/2025,13:22:31,6533.82,MAD,virement,Tanger,en ligne,Cash,santé,ATM,6,1
T000033,C2267,03/07/2025,16:49:50,7399.04,MAD,retrait,Casablanca,carte,Amex,voyage,ATM,5,0
T000034,C2528,04/07/2025,16:13:08,3190.49,MAD,retrait,Marrakech,guichet,Visa,voyage,iOS,10,0
T000035,C4556,04/07/2025,07:01:44,6466.08,MAD,paiement en ligne,Tanger,carte,MasterCard,alimentaire,iOS,4,0
T000036,C4890,04/07/2025,06:08:53,3981.55,MAD,virement,Rabat,en ligne,MasterCard,alimentaire,ATM,1,0
T000037,C9838,04/07/2025,21:42:45,7146.41,EUR,retrait,Fès,carte,Cash,alimentaire,iOS,7,0
T000038,C6393,04/07/2025,03:25:57,2032.19,MAD,paiement en ligne,Rabat,carte,Amex,santé,iOS,8,0
T000039,C9792,04/07/2025,12:33:22,8907.64,EUR,paiement en ligne,,en ligne,MasterCard,voyage,Android,2,0
T000040,C9433,04/07/2025,04:10:05,2909.73,MAD,virement,Casablanca,application mobile,Amex,électronique,iOS,7,0
T000041,C8513,04/07/2025,17:20:41,3709.47,,paiement en ligne,Fès,en ligne,Amex,électronique,Web,6,0
T000042,C3612,04/07/2025,03:40:37,628.01,MAD,virement,Casablanca,application mobile,MasterCard,voyage,Web,5,0
T000043,C8041,04/07/2025,01:16:36,1159.55,EUR,retrait,Marrakech,en ligne,Amex,voyage,Web,4,0
T000044,C7235,04/07/2025,05:57:11,5182.83,MAD,retrait,Casablanca,en ligne,MasterCard,voyage,ATM,2,0
T000045,C6486,05/07/2025,22:52:41,2712.55,EUR,paiement en ligne,Casablanca,en ligne,Cash,voyage,Web,10,0
T000046,C8099,05/07/2025,21:20:26,8363.03,MAD,paiement en ligne,Fès,guichet,Visa,santé,Android,6,0
T000047,C1775,05/07/2025,05:26:39,196.2,EUR,virement,Tanger,application mobile,Visa,électronique,Web,5,0
T000048,C9226,05/07/2025,01:11:44,3821.99,MAD,paiement en ligne,Casablanca,guichet,Cash,mode,ATM,2,0
T000049,C4152,05/07/2025,20:06:09,3406.59,EUR,retrait,Casablanca,en ligne,MasterCard,électronique,Android,10,0
T000050,C2585,05/07/2025,12:16:25,242.31,MAD,paiement en ligne,Marrakech,carte,MasterCard,électronique,Web,7,0
T000051,C4943,05/07/2025,20:27:57,1287.47,USD,paiement en ligne,Fès,guichet,MasterCard,alimentaire,Android,6,0
T000052,C8555,05/07/2025,13:01:53,4165.74,MAD,paiement en ligne,Tanger,application mobile,MasterCard,voyage,Android,9,0
T000053,C4073,05/07/2025,10:00:50,4954.0,MAD,retrait,Casablanca,en ligne,Cash,voyage,ATM,10,0
T000054,C2021,05/07/2025,20:35:50,4072.68,,virement,Fès,guichet,Visa,voyage,ATM,5,0
T000055,C4843,05/07/2025,20:10:39,5332.83,EUR,paiement en ligne,Casablanca,carte,Amex,alimentaire,Android,9,0
T000056,C8989,06/07/2025,10:35:48,5971.56,MAD,paiement en ligne,Casablanca,guichet,Amex,santé,Web,9,0
T000057,C7873,06/07/2025,06:39:34,148.74,,paiement en ligne,Marrakech,application mobile,Visa,santé,ATM,1,0
T000058,C6675,06/07/2025,21:33:54,4667.75,MAD,retrait,Fès,guichet,Cash,mode,Android,5,0
T000059,C1161,06/07/2025,14:23:53,9636.82,,paiement en ligne,Marrakech,carte,Amex,santé,iOS,9,0
T000060,C5297,06/07/2025,21:04:55,5214.37,MAD,virement,Rabat,carte,Visa,santé,iOS,7,0
T000061,C1995,06/07/2025,00:57:35,6791.55,USD,retrait,Rabat,application mobile,Cash,voyage,ATM,6,0
T000062,C8629,06/07/2025,14:19:18,3153.05,EUR,retrait,Rabat,carte,Amex,électronique,Web,6,0
T000063,C2016,06/07/2025,02:51:42,7751.21,USD,paiement en ligne,,en ligne,MasterCard,santé,iOS,7,0
T000064,C8869,06/07/2025,16:58:44,7740.57,MAD,virement,Rabat,carte,MasterCard,santé,iOS,1,0
T000065,C7439,06/07/2025,10:33:08,5236.9,,paiement en ligne,Rabat,en ligne,Cash,alimentaire,iOS,4,0
T000066,C8892,06/07/2025,01:52:08,9761.34,EUR,paiement en ligne,Rabat,guichet,MasterCard,mode,Web,1,0
T000067,C7863,07/07/2025,08:39:16,1299.22,MAD,retrait,Fès,en ligne,Cash,alimentaire,Web,6,0
T000068,C8916,07/07/2025,00:24:42,218.63,EUR,retrait,Rabat,en ligne,Visa,voyage,ATM,4,0
T000069,C9529,07/07/2025,07:41:24,7713.07,USD,paiement en ligne,Tanger,guichet,Visa,électronique,ATM,1,0
T000070,C1878,07/07/2025,06:34:02,8081.2,EUR,paiement en ligne,Rabat,carte,Amex,mode,iOS,9,0
T000071,C5887,07/07/2025,17:36:43,1246.06,EUR,retrait,Tanger,en ligne,Cash,alimentaire,Web,4,0
T000072,C5859,07/07/2025,11:50:29,2692.55,MAD,paiement en ligne,Casablanca,carte,Amex,santé,Android,6,0
T000073,C7331,07/07/2025,05:33:11,224.65,MAD,virement,Marrakech,guichet,Amex,santé,iOS,7,0
T000074,C9571,07/07/2025,18:36:43,,USD,retrait,Tanger,application mobile,Visa,mode,ATM,8,0
